model,temperature,cap_uc,run_index,outcome,n_calls_made,total_input_tokens,total_output_tokens,actual_spent_uc,pre_flight_estimate_uc,error_msg
gpt-4o-mini-2024-07-18,0.7,1500,2,completed_within_cap,3,444,327,262.79999999999995,443.4,
gpt-4o-mini-2024-07-18,0.7,1500,3,completed_within_cap,3,446,330,264.9,444.29999999999995,
gpt-4o-mini-2024-07-18,0.7,1500,4,completed_within_cap,3,466,426,325.5,446.85,
gpt-4o-mini-2024-07-18,0.7,1500,5,completed_within_cap,3,452,330,265.79999999999995,452.7,
gpt-4o-mini-2024-07-18,0.7,1500,6,completed_within_cap,3,440,418,316.79999999999995,443.7,
gpt-4o-mini-2024-07-18,0.7,1500,7,completed_within_cap,3,418,273,226.5,436.95,
gpt-4o-mini-2024-07-18,0.7,1500,8,completed_within_cap,3,409,281,229.95,426.0,
gpt-4o-mini-2024-07-18,0.7,1500,9,completed_within_cap,3,440,357,280.20000000000005,443.4,
gpt-4o-mini-2024-07-18,1.0,1500,0,completed_within_cap,3,449,330,265.34999999999997,453.45,
gpt-4o-mini-2024-07-18,1.0,1500,1,completed_within_cap,3,449,318,258.15,449.85,
gpt-4o-mini-2024-07-18,1.0,1500,2,completed_within_cap,3,458,358,283.5,455.4,
gpt-4o-mini-2024-07-18,1.0,1500,3,completed_within_cap,3,466,354,282.29999999999995,446.1,
gpt-4o-mini-2024-07-18,1.0,1500,4,completed_within_cap,3,492,365,292.8,474.6,
gpt-4o-mini-2024-07-18,1.0,1500,5,completed_within_cap,3,422,415,312.29999999999995,433.35,
gpt-4o-mini-2024-07-18,1.0,1500,6,completed_within_cap,3,421,265,222.14999999999998,436.95,
gpt-4o-mini-2024-07-18,1.0,1500,7,completed_within_cap,3,462,351,279.9,457.35,
gpt-4o-mini-2024-07-18,1.0,1500,8,completed_within_cap,3,440,308,250.8,442.04999999999995,
gpt-4o-mini-2024-07-18,1.0,1500,9,completed_within_cap,3,438,310,251.7,441.15,
