condition,run_index,outcome,n_tool_calls,n_llm_calls,total_input_tokens,total_output_tokens,actual_spent_uc,wall_time_sec,error_msg
vulnerable,0,recursion_limit_hit,52,13,26690,1353,4815.3,49.60440802574158,
protected,0,completed,11,12,6710,264,1164.9,17.89353036880493,
