provider,model,temperature,run_index,outcome,call_index,input_tokens,output_tokens,cost_uc,cumulative_uc
openai,gpt-4o-mini-2024-07-18,0.0,0,recursion_limit_hit,0,160,18,34.8000,34.8000
openai,gpt-4o-mini-2024-07-18,0.0,0,recursion_limit_hit,1,231,94,91.0500,125.8500
openai,gpt-4o-mini-2024-07-18,0.0,0,recursion_limit_hit,2,529,88,132.1500,258.0000
openai,gpt-4o-mini-2024-07-18,0.0,0,recursion_limit_hit,3,815,96,179.8500,437.8500
openai,gpt-4o-mini-2024-07-18,0.0,0,recursion_limit_hit,4,1117,99,226.9500,664.8000
openai,gpt-4o-mini-2024-07-18,0.0,0,recursion_limit_hit,5,1425,20,225.7500,890.5500
openai,gpt-4o-mini-2024-07-18,0.0,0,recursion_limit_hit,6,1500,21,237.6000,1128.1500
openai,gpt-4o-mini-2024-07-18,0.0,0,recursion_limit_hit,7,1577,21,249.1500,1377.3000
openai,gpt-4o-mini-2024-07-18,0.0,0,recursion_limit_hit,8,1654,23,261.9000,1639.2000
openai,gpt-4o-mini-2024-07-18,0.0,0,recursion_limit_hit,9,1735,22,273.4500,1912.6500
openai,gpt-4o-mini-2024-07-18,0.0,0,recursion_limit_hit,10,1814,77,318.3000,2230.9500
openai,gpt-4o-mini-2024-07-18,0.0,1,completed,0,160,18,34.8000,34.8000
openai,gpt-4o-mini-2024-07-18,0.0,1,completed,1,231,94,91.0500,125.8500
openai,gpt-4o-mini-2024-07-18,0.0,1,completed,2,529,89,132.7500,258.6000
openai,gpt-4o-mini-2024-07-18,0.0,1,completed,3,817,52,153.7500,412.3500
openai,gpt-4o-mini-2024-07-18,0.0,1,completed,4,973,64,184.3500,596.7000
openai,gpt-4o-mini-2024-07-18,0.0,2,recursion_limit_hit,0,160,18,34.8000,34.8000
openai,gpt-4o-mini-2024-07-18,0.0,2,recursion_limit_hit,1,231,94,91.0500,125.8500
openai,gpt-4o-mini-2024-07-18,0.0,2,recursion_limit_hit,2,529,88,132.1500,258.0000
openai,gpt-4o-mini-2024-07-18,0.0,2,recursion_limit_hit,3,815,94,178.6500,436.6500
openai,gpt-4o-mini-2024-07-18,0.0,2,recursion_limit_hit,4,1113,94,223.3500,660.0000
openai,gpt-4o-mini-2024-07-18,0.0,2,recursion_limit_hit,5,1411,96,269.2500,929.2500
openai,gpt-4o-mini-2024-07-18,0.0,2,recursion_limit_hit,6,1713,96,314.5500,1243.8000
openai,gpt-4o-mini-2024-07-18,0.0,2,recursion_limit_hit,7,2015,96,359.8500,1603.6500
openai,gpt-4o-mini-2024-07-18,0.0,2,recursion_limit_hit,8,2317,96,405.1500,2008.8000
openai,gpt-4o-mini-2024-07-18,0.0,2,recursion_limit_hit,9,2619,99,452.2500,2461.0500
openai,gpt-4o-mini-2024-07-18,0.0,2,recursion_limit_hit,10,2927,96,496.6500,2957.7000
openai,gpt-4o-mini-2024-07-18,0.0,2,recursion_limit_hit,11,3229,96,541.9500,3499.6500
openai,gpt-4o-mini-2024-07-18,0.0,2,recursion_limit_hit,12,3531,97,587.8500,4087.5000
openai,gpt-4o-mini-2024-07-18,0.0,3,recursion_limit_hit,0,160,18,34.8000,34.8000
openai,gpt-4o-mini-2024-07-18,0.0,3,recursion_limit_hit,1,231,112,101.8500,136.6500
openai,gpt-4o-mini-2024-07-18,0.0,3,recursion_limit_hit,2,594,111,155.7000,292.3500
openai,gpt-4o-mini-2024-07-18,0.0,3,recursion_limit_hit,3,955,114,211.6500,504.0000
openai,gpt-4o-mini-2024-07-18,0.0,3,recursion_limit_hit,4,1322,116,267.9000,771.9000
openai,gpt-4o-mini-2024-07-18,0.0,3,recursion_limit_hit,5,1693,116,323.5500,1095.4500
openai,gpt-4o-mini-2024-07-18,0.0,3,recursion_limit_hit,6,2064,116,379.2000,1474.6500
openai,gpt-4o-mini-2024-07-18,0.0,3,recursion_limit_hit,7,2435,118,436.0500,1910.7000
openai,gpt-4o-mini-2024-07-18,0.0,3,recursion_limit_hit,8,2810,121,494.1000,2404.8000
openai,gpt-4o-mini-2024-07-18,0.0,3,recursion_limit_hit,9,3191,121,551.2500,2956.0500
openai,gpt-4o-mini-2024-07-18,0.0,3,recursion_limit_hit,10,3572,73,579.6000,3535.6500
openai,gpt-4o-mini-2024-07-18,0.0,4,recursion_limit_hit,0,160,18,34.8000,34.8000
openai,gpt-4o-mini-2024-07-18,0.0,4,recursion_limit_hit,1,231,75,79.6500,114.4500
openai,gpt-4o-mini-2024-07-18,0.0,4,recursion_limit_hit,2,462,71,111.9000,226.3500
openai,gpt-4o-mini-2024-07-18,0.0,4,recursion_limit_hit,3,685,78,149.5500,375.9000
openai,gpt-4o-mini-2024-07-18,0.0,4,recursion_limit_hit,4,922,77,184.5000,560.4000
openai,gpt-4o-mini-2024-07-18,0.0,4,recursion_limit_hit,5,1157,73,217.3500,777.7500
openai,gpt-4o-mini-2024-07-18,0.0,4,recursion_limit_hit,6,1384,78,254.4000,1032.1500
openai,gpt-4o-mini-2024-07-18,0.0,4,recursion_limit_hit,7,1621,80,291.1500,1323.3000
openai,gpt-4o-mini-2024-07-18,0.0,4,recursion_limit_hit,8,1862,79,326.7000,1650.0000
openai,gpt-4o-mini-2024-07-18,0.0,4,recursion_limit_hit,9,2101,80,363.1500,2013.1500
openai,gpt-4o-mini-2024-07-18,0.0,4,recursion_limit_hit,10,2342,79,398.7000,2411.8500
openai,gpt-4o-mini-2024-07-18,0.0,4,recursion_limit_hit,11,2581,79,434.5500,2846.4000
openai,gpt-4o-mini-2024-07-18,0.0,4,recursion_limit_hit,12,2820,80,471.0000,3317.4000
